"","Neighbourhood","Years","Population","Assault","Autotheft","Biketheft","Breakandenter","Homicide","Robbery","Shooting","Theftfrommv","TheftOver"
"1",1,2013,8785,25,39,50,30,15,17,34,46,25
"2",2,2013,5502,14,23,8,16,38,10,17,19,37
"3",3,2013,8429,27,20,14,45,47,16,3,10,10
"4",4,2013,8695,16,30,2,8,27,23,25,38,44
"5",5,2013,9089,11,27,14,36,10,3,43,8,10
"6",6,2013,8051,30,35,38,10,23,50,48,24,16
"7",7,2013,7966,1,21,49,42,40,26,49,40,14
"8",8,2013,5469,11,8,49,18,32,2,8,43,29
"9",9,2013,6989,27,24,11,1,19,6,36,8,19
"10",10,2013,6539,27,26,16,4,45,41,29,48,8
"11",11,2013,5822,23,46,36,19,29,42,9,34,43
"12",12,2013,7885,46,30,1,15,11,50,43,10,18
"13",13,2013,9278,40,41,19,10,32,12,10,21,36
"14",14,2013,7346,11,14,3,42,2,31,12,6,34
"15",15,2013,7513,9,27,35,28,32,6,32,45,27
"16",16,2013,7955,31,37,46,44,9,48,16,37,39
"17",17,2013,8042,49,28,46,1,41,13,41,22,46
"18",18,2013,6330,41,43,44,15,16,30,24,48,37
"19",19,2013,5455,31,15,20,5,22,3,29,22,2
"20",20,2013,8217,45,20,1,41,22,1,25,19,13
"21",21,2013,6816,44,34,50,5,43,34,17,30,1
"22",22,2013,8506,30,38,47,5,40,7,49,2,11
"23",23,2013,9605,19,22,4,4,33,14,20,47,11
"24",24,2013,5947,26,12,8,35,42,49,5,23,34
"25",25,2013,8631,47,20,42,42,46,41,4,26,43
"26",26,2013,5287,8,48,44,14,2,16,42,29,10
"27",27,2013,5346,42,11,30,24,48,44,49,35,2
"28",28,2013,6807,45,34,28,18,22,15,11,14,12
"29",29,2013,6989,43,20,16,3,36,26,5,3,23
"30",30,2013,5604,23,46,23,21,1,28,43,22,47
"31",31,2013,8741,4,45,9,46,1,31,8,10,12
"32",32,2013,9828,45,41,11,46,22,7,24,36,48
"33",33,2013,6630,38,25,45,5,29,12,16,7,50
"34",34,2013,5222,38,29,49,42,41,29,19,8,4
"35",35,2013,6448,34,31,18,15,10,21,27,13,10
"36",36,2013,8368,30,46,26,46,39,18,9,3,13
"37",37,2013,9597,18,30,33,36,1,33,9,13,26
"38",38,2013,9614,35,38,38,20,13,21,41,21,30
"39",39,2013,9544,35,39,38,18,31,9,13,22,3
"40",40,2013,7440,1,39,6,18,50,36,13,4,18
"41",41,2013,9755,7,28,45,20,35,11,41,7,46
"42",42,2013,7410,33,37,5,24,19,15,40,2,23
"43",43,2013,6623,27,40,41,18,31,19,3,9,34
"44",44,2013,7930,49,3,29,48,12,30,43,13,2
"45",45,2013,7477,40,18,11,39,16,35,48,33,40
"46",46,2013,8325,40,40,42,47,32,36,12,24,7
"47",47,2013,7094,28,38,41,29,8,50,11,30,22
"48",48,2013,9803,6,24,26,17,30,37,2,50,24
"49",49,2013,7059,12,41,8,29,21,15,26,4,25
"50",50,2013,5946,34,31,3,12,7,34,42,29,35
"51",51,2013,6144,38,26,13,30,36,41,42,32,10
"52",52,2013,5015,4,50,22,27,34,34,37,42,31
"53",53,2013,6975,31,26,40,20,15,41,2,40,28
"54",54,2013,6429,23,26,13,36,37,41,35,29,40
"55",55,2013,5948,14,6,49,9,13,4,7,9,10
"56",56,2013,7690,25,2,39,48,3,12,35,7,6
"57",57,2013,9651,15,43,23,24,38,37,23,15,9
"58",58,2013,8924,49,47,39,40,48,37,25,29,26
"59",59,2013,5756,28,45,37,24,19,50,3,39,9
"60",60,2013,7328,43,27,25,46,23,4,8,49,9
"61",61,2013,8726,29,7,43,8,45,36,31,23,50
"62",62,2013,7468,1,14,50,4,12,2,35,41,6
"63",63,2013,7713,24,7,39,29,46,33,18,39,7
"64",64,2013,9966,46,49,11,47,11,22,26,36,12
"65",65,2013,6419,5,28,31,21,5,7,7,45,10
"66",66,2013,6160,11,37,1,42,5,20,20,44,34
"67",67,2013,6866,7,44,44,21,48,39,27,26,37
"68",68,2013,8385,13,16,43,30,22,19,42,42,8
"69",69,2013,6060,34,7,2,35,7,41,45,21,10
"70",70,2013,7778,20,40,27,27,10,49,42,27,46
"71",71,2013,5327,27,9,20,32,35,27,21,19,37
"72",72,2013,8162,4,19,43,4,9,22,50,29,17
"73",73,2013,6217,37,21,18,10,12,21,2,39,6
"74",74,2013,7194,14,42,27,27,35,38,14,34,28
"75",75,2013,9939,21,41,47,26,31,23,13,12,41
"76",76,2013,7841,39,4,48,29,48,45,18,47,8
"77",77,2013,6284,14,26,36,6,24,6,33,30,27
"78",78,2013,9854,15,1,4,41,25,47,6,35,5
"79",79,2013,5333,40,48,22,25,21,17,44,12,37
"80",80,2013,8367,34,4,21,36,4,30,11,37,15
"81",81,2013,5878,11,42,2,40,8,29,17,35,8
"82",82,2013,7896,47,32,41,10,2,10,45,49,43
"83",83,2013,9317,7,16,38,17,8,24,9,35,23
"84",84,2013,7495,43,3,28,35,13,50,18,49,1
"85",85,2013,6246,22,11,32,27,15,17,34,45,35
"86",86,2013,9789,10,41,7,38,18,49,5,2,8
"87",87,2013,9265,24,22,6,2,45,29,34,25,12
"88",88,2013,9482,20,19,30,30,24,33,13,40,49
"89",89,2013,7383,39,27,6,26,27,33,31,45,23
"90",90,2013,7469,35,31,31,13,37,48,25,31,34
"91",91,2013,6751,32,46,8,9,47,45,18,50,25
"92",92,2013,5722,37,47,31,8,48,11,17,22,26
"93",93,2013,9080,35,49,40,4,25,10,20,36,37
"94",94,2013,7761,25,30,12,9,46,7,3,20,50
"95",95,2013,9913,44,39,14,6,41,32,12,14,5
"96",96,2013,7827,18,6,36,8,50,3,44,8,5
"97",97,2013,9990,15,15,19,2,14,3,15,21,30
"98",98,2013,6836,44,3,32,15,5,37,31,22,6
"99",99,2013,7537,6,7,43,13,43,36,14,40,38
"100",100,2013,8171,31,35,23,34,35,27,18,10,34
"101",101,2013,8272,18,41,25,3,37,36,38,31,34
"102",102,2013,8993,13,35,35,41,50,24,3,3,25
"103",103,2013,8142,7,45,13,33,29,13,10,21,21
"104",104,2013,9072,7,8,25,5,30,3,10,49,17
"105",105,2013,7319,45,17,43,30,20,2,35,8,22
"106",106,2013,8153,22,11,50,7,41,1,37,40,6
"107",107,2013,7518,13,22,19,17,37,49,13,18,9
"108",108,2013,7528,45,15,4,48,30,7,27,11,17
"109",109,2013,9806,39,40,11,45,47,2,3,2,6
"110",110,2013,9553,50,4,40,3,1,23,22,3,13
"111",111,2013,5176,21,16,11,21,50,27,18,39,45
"112",112,2013,8299,33,22,44,22,11,41,45,3,28
"113",113,2013,9746,11,12,18,45,15,6,23,44,17
"114",114,2013,8053,1,26,31,31,30,8,27,11,36
"115",115,2013,5113,17,44,33,35,49,12,10,36,40
"116",116,2013,7761,13,41,43,14,38,13,21,25,50
"117",117,2013,5456,18,7,36,18,40,3,39,14,13
"118",118,2013,6148,45,46,5,18,34,50,42,28,35
"119",119,2013,7365,33,27,5,41,31,33,33,21,21
"120",120,2013,9490,24,19,6,46,30,45,32,39,45
"121",121,2013,9195,50,45,4,14,19,8,43,34,9
"122",122,2013,6273,33,45,5,48,29,13,13,42,19
"123",123,2013,7217,46,20,16,38,2,20,9,37,14
"124",124,2013,9671,23,48,48,14,50,33,34,28,45
"125",125,2013,8086,31,18,45,28,42,48,28,23,13
"126",126,2013,8347,34,3,43,5,10,47,40,49,41
"127",127,2013,6582,9,23,17,21,26,36,12,46,42
"128",128,2013,8254,50,21,26,40,6,47,38,6,38
"129",129,2013,5401,20,16,21,49,35,39,12,44,49
"130",130,2013,9989,34,42,35,39,36,7,18,48,48
"131",131,2013,9709,41,2,43,30,15,22,6,5,12
"132",132,2013,6496,40,6,12,33,34,38,28,7,3
"133",133,2013,7570,20,34,30,10,8,7,50,29,6
"134",134,2013,6941,40,40,32,14,38,35,15,22,4
"135",135,2013,7355,38,12,18,45,19,16,19,36,33
"136",136,2013,7687,39,12,9,3,26,37,9,44,29
"137",137,2013,9006,15,43,32,43,43,24,5,15,5
"138",138,2013,6950,17,42,25,33,11,15,4,34,17
"139",139,2013,8405,6,2,12,19,37,23,5,41,49
"140",140,2013,5971,19,4,6,9,21,1,13,15,46
"141",141,2013,9543,27,8,3,20,47,22,15,9,24
"142",142,2013,5491,18,9,20,37,20,32,4,39,32
"143",143,2013,7706,29,45,45,15,23,12,45,3,39
"144",144,2013,6995,7,9,2,14,46,7,19,5,13
"145",145,2013,9755,48,30,36,19,19,40,18,44,8
"146",146,2013,7889,38,20,17,42,33,37,19,48,37
"147",147,2013,5301,24,50,5,23,16,14,20,15,24
"148",148,2013,7385,17,2,36,13,34,31,13,25,2
"149",1,2014,9763,45,29,39,34,4,18,10,3,48
"150",2,2014,7372,47,27,27,44,3,41,29,3,10
"151",3,2014,8024,6,29,34,19,35,29,26,16,38
"152",4,2014,9260,23,7,31,21,9,22,23,44,31
"153",5,2014,8318,7,31,27,9,49,30,29,5,30
"154",6,2014,8017,19,24,48,10,7,2,22,21,30
"155",7,2014,8332,47,30,9,24,28,5,33,32,27
"156",8,2014,5851,38,39,44,36,37,15,12,30,17
"157",9,2014,6069,20,29,27,13,23,27,18,2,14
"158",10,2014,5115,22,29,41,21,22,20,15,18,33
"159",11,2014,9083,24,24,14,11,34,36,1,26,20
"160",12,2014,8603,34,39,23,44,26,36,12,23,41
"161",13,2014,9919,39,35,14,31,13,26,48,8,20
"162",14,2014,7496,17,38,43,13,11,37,20,21,6
"163",15,2014,9899,25,10,1,10,18,16,13,2,21
"164",16,2014,5505,31,34,17,4,21,13,47,49,13
"165",17,2014,5805,41,30,1,23,32,32,46,38,1
"166",18,2014,6578,8,21,41,30,11,7,21,32,33
"167",19,2014,8466,30,47,16,8,34,11,40,34,15
"168",20,2014,9668,26,40,15,16,39,25,20,32,12
"169",21,2014,7450,40,40,39,37,6,42,20,17,34
"170",22,2014,5629,39,41,11,7,15,33,34,21,48
"171",23,2014,8497,23,24,6,46,50,36,3,24,18
"172",24,2014,7573,29,23,30,43,38,20,5,27,15
"173",25,2014,6849,29,23,22,13,5,49,29,7,26
"174",26,2014,9973,15,22,11,27,30,20,41,41,7
"175",27,2014,6977,37,46,48,46,11,18,31,2,16
"176",28,2014,9755,26,42,41,29,44,39,10,45,19
"177",29,2014,5208,37,48,22,26,9,39,16,19,33
"178",30,2014,7351,8,32,49,38,30,35,26,4,23
"179",31,2014,8622,41,47,46,29,27,9,38,11,35
"180",32,2014,6243,33,6,7,4,27,18,29,23,32
"181",33,2014,6919,5,33,5,33,34,42,34,44,36
"182",34,2014,5702,32,7,1,33,30,23,10,10,7
"183",35,2014,6542,25,15,33,9,19,23,21,29,27
"184",36,2014,8581,24,5,20,37,27,1,31,45,24
"185",37,2014,7398,3,15,41,39,45,20,5,44,29
"186",38,2014,6042,32,24,42,40,12,7,50,49,35
"187",39,2014,5176,16,30,31,28,6,13,15,41,1
"188",40,2014,7401,6,2,4,32,9,42,37,23,8
"189",41,2014,5944,47,30,49,8,43,37,49,30,34
"190",42,2014,8201,25,22,41,16,11,28,16,30,10
"191",43,2014,6660,3,25,6,23,46,26,3,45,28
"192",44,2014,7513,37,19,10,19,5,21,36,20,4
"193",45,2014,5055,8,10,17,20,9,14,39,23,26
"194",46,2014,8363,16,23,25,38,9,24,28,21,39
"195",47,2014,5904,31,40,25,45,40,41,3,39,48
"196",48,2014,9182,33,17,21,9,45,36,34,44,19
"197",49,2014,5396,11,33,20,32,37,46,11,35,42
"198",50,2014,7858,44,28,19,20,34,3,26,6,49
"199",51,2014,5075,22,22,34,38,46,9,19,26,17
"200",52,2014,6348,45,50,33,12,6,47,42,46,29
"201",53,2014,8012,19,6,46,7,45,17,47,28,45
"202",54,2014,5980,11,14,6,44,33,28,50,9,33
"203",55,2014,7620,32,4,35,49,33,21,36,9,46
"204",56,2014,9025,22,41,43,17,15,43,20,32,44
"205",57,2014,6484,3,7,37,11,39,42,12,10,42
"206",58,2014,6397,48,33,15,12,33,2,18,36,19
"207",59,2014,7145,42,27,47,9,50,38,8,24,24
"208",60,2014,8234,38,37,29,38,41,44,31,35,6
"209",61,2014,8788,13,44,42,43,9,47,41,37,40
"210",62,2014,8292,34,27,23,42,10,31,25,1,17
"211",63,2014,5902,3,43,30,38,14,16,42,20,25
"212",64,2014,5694,34,17,27,26,4,26,36,24,47
"213",65,2014,5584,36,38,41,1,25,31,26,44,15
"214",66,2014,5903,7,7,37,15,45,3,33,3,11
"215",67,2014,5922,15,38,11,15,38,38,40,16,42
"216",68,2014,6051,28,35,16,48,34,23,38,15,21
"217",69,2014,7154,33,2,10,46,12,15,4,14,37
"218",70,2014,6020,9,44,41,44,35,44,32,23,30
"219",71,2014,6702,24,9,7,37,31,39,13,33,23
"220",72,2014,9739,33,23,20,19,34,28,28,12,25
"221",73,2014,6834,5,27,10,39,43,1,45,47,27
"222",74,2014,6319,49,17,50,29,7,2,39,17,11
"223",75,2014,9847,9,4,4,17,49,45,15,44,18
"224",76,2014,6648,18,26,41,11,23,21,44,22,49
"225",77,2014,9419,16,44,5,28,18,15,45,11,48
"226",78,2014,5400,39,21,23,50,50,15,39,28,29
"227",79,2014,9215,3,39,32,18,21,10,18,2,47
"228",80,2014,5754,15,17,28,24,14,36,3,46,14
"229",81,2014,5908,48,20,29,11,24,13,1,24,39
"230",82,2014,8094,36,45,4,18,10,44,40,8,35
"231",83,2014,5736,1,3,13,31,9,18,41,43,43
"232",84,2014,6816,33,13,20,49,26,33,6,48,24
"233",85,2014,9097,35,24,7,36,26,47,8,12,46
"234",86,2014,8477,17,5,4,49,14,19,29,13,6
"235",87,2014,6350,29,47,47,39,12,7,32,4,5
"236",88,2014,9663,34,40,20,4,47,2,15,29,50
"237",89,2014,6105,2,44,7,41,27,38,14,19,38
"238",90,2014,6868,42,11,14,9,30,33,42,4,43
"239",91,2014,5945,25,15,46,50,18,16,48,6,44
"240",92,2014,7436,12,50,33,12,39,3,23,29,30
"241",93,2014,8495,10,22,14,49,19,22,20,21,1
"242",94,2014,7007,11,15,38,10,17,27,33,45,29
"243",95,2014,5082,46,12,27,28,31,2,12,8,1
"244",96,2014,5339,33,22,48,11,1,39,9,38,50
"245",97,2014,6512,18,49,4,28,15,15,12,48,25
"246",98,2014,6153,39,20,4,5,26,1,26,17,28
"247",99,2014,5734,47,38,16,24,23,26,18,10,46
"248",100,2014,8367,27,22,17,13,23,12,36,12,17
"249",101,2014,9751,8,23,3,14,49,28,35,38,20
"250",102,2014,7413,21,35,6,12,7,7,50,41,17
"251",103,2014,6044,11,13,35,10,47,4,9,31,23
"252",104,2014,7449,28,23,34,21,15,43,43,28,10
"253",105,2014,7732,50,40,44,2,26,11,26,31,40
"254",106,2014,8958,18,11,31,46,33,15,37,13,15
"255",107,2014,6632,45,22,2,25,29,11,23,40,12
"256",108,2014,9228,39,41,24,32,36,15,39,27,18
"257",109,2014,8442,6,25,9,9,43,22,10,22,21
"258",110,2014,6393,4,34,38,47,6,4,27,50,42
"259",111,2014,5696,35,19,33,6,27,19,19,49,14
"260",112,2014,8097,24,31,1,19,12,49,3,25,10
"261",113,2014,9260,33,31,13,7,3,29,33,6,49
"262",114,2014,7234,34,41,29,31,20,37,45,2,31
"263",115,2014,5996,41,45,20,28,11,21,15,32,37
"264",116,2014,6197,30,17,38,46,43,2,13,28,36
"265",117,2014,6940,13,48,30,8,30,50,37,31,41
"266",118,2014,7355,21,24,36,47,35,34,11,10,1
"267",119,2014,5591,13,29,44,44,44,6,22,39,9
"268",120,2014,6616,32,50,44,31,11,15,22,41,15
"269",121,2014,8003,13,23,44,24,2,40,29,20,13
"270",122,2014,7078,19,12,48,7,37,40,27,1,1
"271",123,2014,7933,43,17,35,29,37,23,31,13,20
"272",124,2014,5487,11,12,30,28,5,10,36,46,28
"273",125,2014,8587,47,26,49,3,45,19,3,18,40
"274",126,2014,5261,14,16,22,29,21,46,33,13,29
"275",127,2014,6999,25,23,4,25,38,32,1,50,50
"276",128,2014,5897,44,13,39,16,50,23,19,50,14
"277",129,2014,6895,12,24,35,35,26,4,13,17,2
"278",130,2014,8348,12,49,14,45,33,35,46,10,21
"279",131,2014,5212,8,46,42,14,37,5,40,36,19
"280",132,2014,8401,10,39,41,33,3,16,7,37,4
"281",133,2014,8538,28,1,16,16,15,43,50,3,17
"282",134,2014,9944,42,35,17,26,42,43,44,5,14
"283",135,2014,5536,3,10,34,27,40,37,3,50,23
"284",136,2014,6306,6,35,4,40,28,40,25,22,14
"285",137,2014,5247,5,43,49,4,36,21,4,48,43
"286",138,2014,8667,43,33,21,48,29,15,1,2,33
"287",139,2014,6783,6,34,28,15,39,16,11,6,28
"288",140,2014,6217,13,29,7,4,18,40,25,7,1
"289",141,2014,9309,27,2,42,35,13,12,9,6,13
"290",142,2014,6494,47,6,31,27,32,39,38,15,42
"291",143,2014,9878,34,17,19,8,22,13,45,3,40
"292",144,2014,5003,1,39,2,22,43,6,45,9,22
"293",145,2014,6765,46,7,35,20,11,24,37,29,22
"294",146,2014,5025,29,32,30,15,20,32,6,42,32
"295",147,2014,9256,30,27,25,27,26,6,5,18,18
"296",148,2014,9082,40,35,17,37,9,37,11,25,38
"297",1,2015,7524,3,33,24,16,11,46,15,14,39
"298",2,2015,9083,33,30,31,41,26,41,19,32,38
